time_from_start,panda_joint1_pos,panda_joint2_pos,panda_joint3_pos,panda_joint4_pos,panda_joint5_pos,panda_joint6_pos,panda_joint7_pos,panda_joint1_vel,panda_joint2_vel,panda_joint3_vel,panda_joint4_vel,panda_joint5_vel,panda_joint6_vel,panda_joint7_vel,ee_pos_x,ee_pos_y,ee_pos_z,ee_ori_x,ee_ori_y,ee_ori_z,ee_ori_w
1.16932,0.000122556,8.85671e-06,-0.487338,-0.125157,5.77108e-05,8.30265e-06,-2.02429,0.275242,9.10608e-06,1.0195e-05,1.54537,-0.400399,0.785325,1.66649e-05,0.394806,7.78099e-05,0.640035,0.923919,-0.382566,0.00389047,-0.00160201
1.21518,0.000122931,1.0575e-05,-0.492673,-0.151679,5.8064e-05,1.00076e-05,-2.01434,0.24076,9.54256e-06,1.24705e-05,1.53008,-0.392439,0.785326,1.94706e-05,0.391608,7.78099e-05,0.645442,0.923919,-0.382566,0.00389047,-0.00160201
1.24839,0.000123362,1.48086e-05,-0.498884,-0.214609,5.84729e-05,1.40805e-05,-2.00556,0.261942,1.00547e-05,1.77756e-05,1.51509,-0.476551,0.785327,2.69279e-05,0.388077,7.78099e-05,0.650638,0.923919,-0.382566,0.00389047,-0.00160201
1.27762,0.000123848,1.59385e-05,-0.505964,-0.232988,5.89361e-05,1.51961e-05,-1.99798,0.21918,1.06431e-05,1.94402e-05,1.50043,-0.452168,0.785328,2.87112e-05,0.384227,7.78099e-05,0.655602,0.923919,-0.382566,0.00389047,-0.00160201
1.3131,0.000124389,1.71859e-05,-0.513902,-0.253404,5.94521e-05,1.64079e-05,-1.99163,0.171488,1.13083e-05,2.13368e-05,1.48614,-0.424892,0.785329,3.06757e-05,0.380073,7.78099e-05,0.660314,0.923919,-0.382566,0.00389047,-0.00160201
1.34414,0.000124983,1.83675e-05,-0.522689,-0.272503,6.00193e-05,1.7535e-05,-1.98654,0.133897,1.2051e-05,2.31352e-05,1.47226,-0.406401,0.78533,3.25555e-05,0.37563,7.78099e-05,0.664756,0.923919,-0.382566,0.00389047,-0.00160201
1.38086,0.000125629,1.46786e-05,-0.532309,-0.218885,6.06362e-05,1.39997e-05,-1.98272,0.073094,1.28717e-05,1.87456e-05,1.45883,-0.291979,0.785331,2.58421e-05,0.370918,7.78099e-05,0.668911,0.923919,-0.382566,0.00389047,-0.001602
1.44024,0.000126327,1.47322e-05,-0.542747,-0.220793,6.13013e-05,1.40173e-05,-1.98021,0.0355165,1.37708e-05,1.91382e-05,1.44587,-0.256309,0.785332,2.57053e-05,0.365954,7.78099e-05,0.672761,0.923919,-0.382566,0.00389047,-0.001602
1.48252,0.000127076,1.99002e-05,-0.553985,-0.299062,6.20131e-05,1.88856e-05,-1.979,0.0129527,1.47489e-05,2.61861e-05,1.43342,-0.312015,0.785333,3.44611e-05,0.360758,7.78099e-05,0.676292,0.923919,-0.382566,0.00389048,-0.001602
1.51868,0.000127875,2.3987e-05,-0.566001,-0.361079,6.27701e-05,2.26926e-05,-1.97909,-0.022883,1.58061e-05,3.19625e-05,1.42151,-0.338196,0.785335,4.11893e-05,0.355351,7.78099e-05,0.67949,0.923919,-0.382566,0.00389048,-0.00160199
1.55144,0.000128723,2.75697e-05,-0.578772,-0.415214,6.3571e-05,2.59903e-05,-1.9805,-0.0657968,1.69425e-05,3.71751e-05,1.41015,-0.349417,0.785336,4.69027e-05,0.349754,7.78099e-05,0.682342,0.923919,-0.382566,0.00389048,-0.00160199
